date,avg_new_cases_7d
2020-01-01,0.0
2020-01-02,0.0
2020-01-03,0.0
2020-01-04,0.0
2020-01-05,0.0
2020-01-06,0.0
2020-01-07,0.0
2020-01-08,0.0
2020-01-09,0.0
2020-01-10,0.0
2020-01-11,0.0
2020-01-12,0.0
2020-01-13,0.0
2020-01-14,0.0
2020-01-15,0.0
2020-01-16,0.0
2020-01-17,0.0
2020-01-18,0.14
2020-01-19,0.14
2020-01-20,0.14
2020-01-21,0.14
2020-01-22,0.71
2020-01-23,1.0
2020-01-24,1.14
2020-01-25,1.0
2020-01-26,1.14
2020-01-27,1.14
2020-01-28,1.14
2020-01-29,0.57
2020-01-30,0.29
2020-01-31,0.29
2020-02-01,0.43
2020-02-02,0.71
2020-02-03,1.29
2020-02-04,1.57
2020-02-05,1.57
2020-02-06,1.57
2020-02-07,1.57
2020-02-08,1.43
2020-02-09,1.0
2020-02-10,0.43
2020-02-11,0.14
2020-02-12,0.43
2020-02-13,0.57
2020-02-14,0.57
2020-02-15,0.57
2020-02-16,0.57
2020-02-17,0.86
2020-02-18,1.57
2020-02-19,1.71
2020-02-20,1.71
2020-02-21,2.29
2020-02-22,3.43
2020-02-23,3.43
2020-02-24,3.71
2020-02-25,3.57
2020-02-26,4.29
2020-02-27,4.86
2020-02-28,4.71
2020-02-29,4.86
2020-03-01,7.43
2020-03-02,11.71
2020-03-03,18.43
2020-03-04,27.29
2020-03-05,37.57
2020-03-06,54.86
2020-03-07,74.0
2020-03-08,100.86
2020-03-09,150.86
2020-03-10,211.57
2020-03-11,269.0
2020-03-12,353.0
2020-03-13,449.29
2020-03-14,552.29
2020-03-15,743.14
2020-03-16,934.43
2020-03-17,1177.71
2020-03-18,1505.86
2020-03-19,1933.14
2020-03-20,2471.57
2020-03-21,3124.86
2020-03-22,3882.29
2020-03-23,4785.71
2020-03-24,5733.43
2020-03-25,6838.86
2020-03-26,8323.43
2020-03-27,9859.29
2020-03-28,11330.29
2020-03-29,13379.43
2020-03-30,13910.0
2020-03-31,15526.86
2020-04-01,17201.86
2020-04-02,18685.29
2020-04-03,20244.57
2020-04-04,21802.57
2020-04-05,21810.86
2020-04-06,23643.57
2020-04-07,24383.86
2020-04-08,25169.57
2020-04-09,25767.71
2020-04-10,25869.71
2020-04-11,25901.29
2020-04-12,26080.86
2020-04-13,25584.71
2020-04-14,25129.0
2020-04-15,24283.29
2020-04-16,24120.29
2020-04-17,24032.14
2020-04-18,23632.14
2020-04-19,23750.43
2020-04-20,24143.0
2020-04-21,24249.43
2020-04-22,25038.43
2020-04-23,25392.43
2020-04-24,26124.57
2020-04-25,26961.29
2020-04-26,27062.43
2020-04-27,26849.71
2020-04-28,26827.43
2020-04-29,26454.57
2020-04-30,26268.57
2020-05-01,26012.43
2020-05-02,25488.0
2020-05-03,25600.14
2020-05-04,25321.29
2020-05-05,25230.86
2020-05-06,25111.29
2020-05-07,24990.29
2020-05-08,24560.86
2020-05-09,24334.57
2020-05-10,23723.57
2020-05-11,23526.57
2020-05-12,23753.0
2020-05-13,22657.43
2020-05-14,23433.14
2020-05-15,23260.43
2020-05-16,23258.57
2020-05-17,23049.57
2020-05-18,23543.43
2020-05-19,23210.14
2020-05-20,24196.71
2020-05-21,22988.0
2020-05-22,22908.14
2020-05-23,22258.14
2020-05-24,22473.43
2020-05-25,21982.14
2020-05-26,21269.43
2020-05-27,20724.0
2020-05-28,20487.0
2020-05-29,20211.14
2020-05-30,20681.86
2020-05-31,20684.57
2020-06-01,20374.0
2020-06-02,20978.29
2020-06-03,21123.43
2020-06-04,20683.86
2020-06-05,20858.86
2020-06-06,20828.0
2020-06-07,20359.14
2020-06-08,20492.14
2020-06-09,20178.0
2020-06-10,20384.86
2020-06-11,20747.86
2020-06-12,21301.0
2020-06-13,21710.0
2020-06-14,22106.86
2020-06-15,22482.86
2020-06-16,23371.43
2020-06-17,23902.43
2020-06-18,24704.29
2020-06-19,25391.86
2020-06-20,26383.29
2020-06-21,27351.29
2020-06-22,28511.29
2020-06-23,30384.0
2020-06-24,32011.86
2020-06-25,34677.57
2020-06-26,36585.86
2020-06-27,38046.29
2020-06-28,39526.57
2020-06-29,40942.86
2020-06-30,42199.14
2020-07-01,45351.71
2020-07-02,46543.57
2020-07-03,48514.43
2020-07-04,49380.71
2020-07-05,49762.86
2020-07-06,51548.86
2020-07-07,53011.14
2020-07-08,53777.86
2020-07-09,54733.86
2020-07-10,55903.14
2020-07-11,58611.0
2020-07-12,61278.0
2020-07-13,61986.86
2020-07-14,63132.86
2020-07-15,64223.86
2020-07-16,65273.71
2020-07-17,66485.86
2020-07-18,66311.86
2020-07-19,66477.14
2020-07-20,66833.29
2020-07-21,66640.14
2020-07-22,66661.86
2020-07-23,67250.0
2020-07-24,66748.43
2020-07-25,65914.71
2020-07-26,65693.29
2020-07-27,64970.71
2020-07-28,64327.14
2020-07-29,63247.29
2020-07-30,62264.86
2020-07-31,61583.57
2020-08-01,60875.29
2020-08-02,59880.14
2020-08-03,58716.86
2020-08-04,57695.86
2020-08-05,56434.0
2020-08-06,54737.14
2020-08-07,53804.71
2020-08-08,53110.29
2020-08-09,52408.57
2020-08-10,52243.71
2020-08-11,53254.29
2020-08-12,53129.14
2020-08-13,52724.0
2020-08-14,51858.57
2020-08-15,51851.86
2020-08-16,51186.86
2020-08-17,50844.14
2020-08-18,48373.71
2020-08-19,47225.71
2020-08-20,46474.0
2020-08-21,45266.57
2020-08-22,43872.0
2020-08-23,43184.57
2020-08-24,42373.43
2020-08-25,42254.14
2020-08-26,42278.0
2020-08-27,42319.14
2020-08-28,42221.14
2020-08-29,42098.43
2020-08-30,42028.57
2020-08-31,42474.14
2020-09-01,42233.86
2020-09-02,41520.71
2020-09-03,41286.0
2020-09-04,41896.43
2020-09-05,41969.86
2020-09-06,41553.43
2020-09-07,39520.71
2020-09-08,38009.57
2020-09-09,37021.43
2020-09-10,36049.71
2020-09-11,35064.71
2020-09-12,34867.43
2020-09-13,34758.29
2020-09-14,36120.43
2020-09-15,37327.29
2020-09-16,38648.29
2020-09-17,39606.71
2020-09-18,40132.29
2020-09-19,40453.0
2020-09-20,40634.86
2020-09-21,41650.0
2020-09-22,43504.29
2020-09-23,43199.14
2020-09-24,43314.71
2020-09-25,43578.14
2020-09-26,43616.14
2020-09-27,43730.0
2020-09-28,43355.43
2020-09-29,41734.14
2020-09-30,42211.86
2020-10-01,42340.43
2020-10-02,42468.71
2020-10-03,43184.43
2020-10-04,43211.86
2020-10-05,43572.0
2020-10-06,44006.71
2020-10-07,45139.71
2020-10-08,46319.14
2020-10-09,47466.29
2020-10-10,48335.71
2020-10-11,49654.29
2020-10-12,50834.43
2020-10-13,52076.0
2020-10-14,52652.14
2020-10-15,53713.86
2020-10-16,55169.57
2020-10-17,55253.71
2020-10-18,55869.57
2020-10-19,57569.71
2020-10-20,58755.71
2020-10-21,60465.14
2020-10-22,62153.86
2020-10-23,64070.71
2020-10-24,67156.43
2020-10-25,69541.0
2020-10-26,70659.71
2020-10-27,73075.14
2020-10-28,75183.29
2020-10-29,77520.43
2020-10-30,79650.0
2020-10-31,82069.86
2020-11-01,83248.86
2020-11-02,85751.86
2020-11-03,88995.57
2020-11-04,93210.29
2020-11-05,97769.43
2020-11-06,102905.14
2020-11-07,107966.29
2020-11-08,113258.43
2020-11-09,118563.29
2020-11-10,125480.86
2020-11-11,130975.57
2020-11-12,136442.71
2020-11-13,142607.14
2020-11-14,147527.29
2020-11-15,151408.43
2020-11-16,155359.14
2020-11-17,158204.71
2020-11-18,160661.71
2020-11-19,164556.43
2020-11-20,166910.57
2020-11-21,168291.57
2020-11-22,169912.57
2020-11-23,170847.0
2020-11-24,171959.43
2020-11-25,175314.0
2020-11-26,168769.86
2020-11-27,164514.86
2020-11-28,160409.0
2020-11-29,158906.86
2020-11-30,157766.71
2020-12-01,160153.14
2020-12-02,162126.0
2020-12-03,172432.29
2020-12-04,180902.57
2020-12-05,189399.71
2020-12-06,194486.29
2020-12-07,198917.86
2020-12-08,203863.43
2020-12-09,205508.0
2020-12-10,204179.0
2020-12-11,207217.57
2020-12-12,208636.43
2020-12-13,209172.0
2020-12-14,211215.57
2020-12-15,207190.14
2020-12-16,209885.14
2020-12-17,215230.43
2020-12-18,213851.29
2020-12-19,212072.71
2020-12-20,212862.57
2020-12-21,210699.0
2020-12-22,210508.57
2020-12-23,208300.43
2020-12-24,201917.29
2020-12-25,190660.43
2020-12-26,182937.86
2020-12-27,178627.0
2020-12-28,177711.0
2020-12-29,179047.29
2020-12-30,180421.57
2020-12-31,184162.43
2021-01-01,193681.86
2021-01-02,204617.43
2021-01-03,211669.71
2021-01-04,211083.0
2021-01-05,215923.71
2021-01-06,218830.0
2021-01-07,224357.43
2021-01-08,233589.14
2021-01-09,237392.14
2021-01-10,239669.57
2021-01-11,243933.86
2021-01-12,240290.57
2021-01-13,235929.57
2021-01-14,229433.29
2021-01-15,221937.71
2021-01-16,215858.43
2021-01-17,210139.43
2021-01-18,202633.86
2021-01-19,192933.86
2021-01-20,187410.14
2021-01-21,182394.57
2021-01-22,175430.57
2021-01-23,168563.57
2021-01-24,162851.71
2021-01-25,160384.71
2021-01-26,159956.71
2021-01-27,155658.14
2021-01-28,151128.57
2021-01-29,147351.0
2021-01-30,143501.0
2021-01-31,139126.71
2021-02-01,138464.0
2021-02-02,134909.14
2021-02-03,128490.14
2021-02-04,124391.71
2021-02-05,118703.29
2021-02-06,114547.43
2021-02-07,111518.43
2021-02-08,104820.71
2021-02-09,100685.14
2021-02-10,98717.43
2021-02-11,94853.14
2021-02-12,91174.86
2021-02-13,87989.71
2021-02-14,84553.43
2021-02-15,81254.0
2021-02-16,76347.57
2021-02-17,71610.43
2021-02-18,67203.57
2021-02-19,63811.57
2021-02-20,61352.57
2021-02-21,59797.43
2021-02-22,59466.71
2021-02-23,61290.57
2021-02-24,62402.0
2021-02-25,62896.29
2021-02-26,62879.43
2021-02-27,63015.57
2021-02-28,62467.71
2021-03-01,61831.29
2021-03-02,59492.57
2021-03-03,58485.29
2021-03-04,57637.86
2021-03-05,56324.0
2021-03-06,54790.43
2021-03-07,53640.57
2021-03-08,52507.71
2021-03-09,52377.57
2021-03-10,51869.29
2021-03-11,51080.0
2021-03-12,51081.71
2021-03-13,50328.29
2021-03-14,50826.57
2021-03-15,50835.29
2021-03-16,50684.14
2021-03-17,50494.14
2021-03-18,50900.71
2021-03-19,50626.57
2021-03-20,51520.43
2021-03-21,51234.86
2021-03-22,51917.57
2021-03-23,52760.71
2021-03-24,53767.0
2021-03-25,54191.43
2021-03-26,55989.43
2021-03-27,56539.29
2021-03-28,57637.14
2021-03-29,59052.43
2021-03-30,59651.29
2021-03-31,60058.0
2021-04-01,61256.0
2021-04-02,60732.29
2021-04-03,60994.43
2021-04-04,60031.71
2021-04-05,59882.86
2021-04-06,60293.29
2021-04-07,61107.57
2021-04-08,61464.0
2021-04-09,62458.86
2021-04-10,63215.29
2021-04-11,64490.43
2021-04-12,65269.86
2021-04-13,66386.57
2021-04-14,65916.71
2021-04-15,65584.14
2021-04-16,64929.43
2021-04-17,66383.14
2021-04-18,65873.86
2021-04-19,62231.71
2021-04-20,60283.57
2021-04-21,59329.86
2021-04-22,57932.14
2021-04-23,56765.0
2021-04-24,53182.14
2021-04-25,52066.14
2021-04-26,52695.0
2021-04-27,51728.86
2021-04-28,50540.0
2021-04-29,49729.14
2021-04-30,48718.29
2021-05-01,48252.86
2021-05-02,47654.71
2021-05-03,46768.14
2021-05-04,45687.86
2021-05-05,44311.71
2021-05-06,42522.0
2021-05-07,41072.14
2021-05-08,39474.0
2021-05-09,38187.57
2021-05-10,36992.71
2021-05-11,35661.14
2021-05-12,34429.0
2021-05-13,34082.14
2021-05-14,32781.71
2021-05-15,31781.71
2021-05-16,30959.57
2021-05-17,30248.86
2021-05-18,29501.14
2021-05-19,28351.43
2021-05-20,26589.71
2021-05-21,25561.43
2021-05-22,24515.71
2021-05-23,23754.29
2021-05-24,23163.0
2021-05-25,22688.86
2021-05-26,22119.86
2021-05-27,21307.43
2021-05-28,20863.14
2021-05-29,19945.57
2021-05-30,19452.14
2021-05-31,18608.43
2021-06-01,16440.14
2021-06-02,15418.86
2021-06-03,14868.86
2021-06-04,14003.0
2021-06-05,13885.57
2021-06-06,13693.14
2021-06-07,13776.43
2021-06-08,14490.57
2021-06-09,14935.43
2021-06-10,14583.29
2021-06-11,13938.0
2021-06-12,13608.57
2021-06-13,13302.57
2021-06-14,13077.29
2021-06-15,12889.71
2021-06-16,12000.0
2021-06-17,11687.29
2021-06-18,11380.71
2021-06-19,11383.57
2021-06-20,11433.43
2021-06-21,11493.57
2021-06-22,11582.14
2021-06-23,11677.14
2021-06-24,11977.43
2021-06-25,12426.29
2021-06-26,12543.71
2021-06-27,12759.29
2021-06-28,13022.71
2021-06-29,13336.86
2021-06-30,13026.14
2021-07-01,13462.71
2021-07-02,13728.43
2021-07-03,13727.0
2021-07-04,13708.71
2021-07-05,13522.57
2021-07-06,14164.43
2021-07-07,15699.86
2021-07-08,16968.0
2021-07-09,18470.29
2021-07-10,19529.14
2021-07-11,20379.71
2021-07-12,23199.43
2021-07-13,25299.43
2021-07-14,27558.71
2021-07-15,29376.29
2021-07-16,31456.71
2021-07-17,33062.86
2021-07-18,34696.71
2021-07-19,36903.71
2021-07-20,39156.71
2021-07-21,42394.14
2021-07-22,46779.86
2021-07-23,50621.86
2021-07-24,53666.57
2021-07-25,55787.14
2021-07-26,59525.0
2021-07-27,64455.29
2021-07-28,68369.86
2021-07-29,72309.86
2021-07-30,77308.43
2021-07-31,81138.43
2021-08-01,83713.86
2021-08-02,88085.14
2021-08-03,91526.29
2021-08-04,96913.57
2021-08-05,100993.43
2021-08-06,104018.57
2021-08-07,109635.71
2021-08-08,114671.71
2021-08-09,113422.0
2021-08-10,116867.29
2021-08-11,119249.0
2021-08-12,122580.86
2021-08-13,125498.14
2021-08-14,128289.71
2021-08-15,130234.14
2021-08-16,132458.14
2021-08-17,134669.14
2021-08-18,137952.0
2021-08-19,141324.14
2021-08-20,144137.14
2021-08-21,144779.29
2021-08-22,147161.29
2021-08-23,148158.14
2021-08-24,149999.57
2021-08-25,151486.43
2021-08-26,153099.29
2021-08-27,155414.86
2021-08-28,156602.57
2021-08-29,155326.43
2021-08-30,157760.0
2021-08-31,159715.86
2021-09-01,162748.14
2021-09-02,162275.14
2021-09-03,162191.0
2021-09-04,160985.71
2021-09-05,161973.86
2021-09-06,158618.14
2021-09-07,150254.29
2021-09-08,146067.14
2021-09-09,146172.0
2021-09-10,144675.71
2021-09-11,146362.0
2021-09-12,145133.14
2021-09-13,145538.86
2021-09-14,151791.14
2021-09-15,150815.86
2021-09-16,148357.57
2021-09-17,146353.29
2021-09-18,141880.71
2021-09-19,139099.14
2021-09-20,136164.14
2021-09-21,132029.29
2021-09-22,127752.86
2021-09-23,123366.86
2021-09-24,119881.57
2021-09-25,116046.86
2021-09-26,113211.29
2021-09-27,114587.86
2021-09-28,112182.0
2021-09-29,109881.71
2021-09-30,107943.57
2021-10-01,106231.43
2021-10-02,104169.14
2021-10-03,102872.29
2021-10-04,100645.86
2021-10-05,98877.71
2021-10-06,97471.0
2021-10-07,96060.71
2021-10-08,94171.0
2021-10-09,92487.71
2021-10-10,91318.14
2021-10-11,89684.14
2021-10-12,87713.29
2021-10-13,86240.86
2021-10-14,83854.43
2021-10-15,81487.43
2021-10-16,80461.43
2021-10-17,78993.14
2021-10-18,78161.86
2021-10-19,76819.0
2021-10-20,74001.57
2021-10-21,72850.57
2021-10-22,71545.14
2021-10-23,67622.86
2021-10-24,64344.86
2021-10-25,66587.86
2021-10-26,69766.71
2021-10-27,70859.86
2021-10-28,70182.14
2021-10-29,70915.71
2021-10-30,70719.71
2021-10-31,70683.57
2021-11-01,74176.29
2021-11-02,70193.57
2021-11-03,69515.0
2021-11-04,70389.57
2021-11-05,70760.14
2021-11-06,70931.0
2021-11-07,71585.43
2021-11-08,72697.86
2021-11-09,73889.0
2021-11-10,75748.71
2021-11-11,73554.29
2021-11-12,78249.0
2021-11-13,80859.14
2021-11-14,81117.29
2021-11-15,83539.71
2021-11-16,85710.14
2021-11-17,87534.86
2021-11-18,93140.14
2021-11-19,92061.71
2021-11-20,90946.14
2021-11-21,91287.71
2021-11-22,92918.43
2021-11-23,93262.86
2021-11-24,93698.43
2021-11-25,87622.71
2021-11-26,83036.0
2021-11-27,83856.0
2021-11-28,86453.43
2021-11-29,79134.71
2021-11-30,81945.57
2021-12-01,85366.43
2021-12-02,95809.0
2021-12-03,105824.0
2021-12-04,108042.57
2021-12-05,107549.71
2021-12-06,120201.86
2021-12-07,120886.86
2021-12-08,120290.14
2021-12-09,119250.14
2021-12-10,116750.57
2021-12-11,116298.0
2021-12-12,116312.29
2021-12-13,116398.43
2021-12-14,115666.57
2021-12-15,117440.57
2021-12-16,119828.14
2021-12-17,123617.0
2021-12-18,127211.57
2021-12-19,131329.57
2021-12-20,140634.14
2021-12-21,150484.43
2021-12-22,163159.14
2021-12-23,178067.57
2021-12-24,189584.86
2021-12-25,195826.71
2021-12-26,206873.86
2021-12-27,231943.71
2021-12-28,256596.14
2021-12-29,289181.86
2021-12-30,332263.29
2021-12-31,364862.0
2022-01-01,389196.14
2022-01-02,410873.14
2022-01-03,475347.14
2022-01-04,522503.57
2022-01-05,557029.0
2022-01-06,586631.43
2022-01-07,643510.57
2022-01-08,664335.0
2022-01-09,673322.14
2022-01-10,725010.43
2022-01-11,739521.86
2022-01-12,758701.0
2022-01-13,776928.0
2022-01-14,774642.43
2022-01-15,778354.14
2022-01-16,776676.43
2022-01-17,736772.86
2022-01-18,745376.29
2022-01-19,737320.57
2022-01-20,719515.43
2022-01-21,708982.71
2022-01-22,688947.14
2022-01-23,679378.29
2022-01-24,686211.86
2022-01-25,634900.57
2022-01-26,601635.86
2022-01-27,573052.43
2022-01-28,537073.29
2022-01-29,521231.86
2022-01-30,501353.0
2022-01-31,439598.86
2022-02-01,411583.14
2022-02-02,377388.14
2022-02-03,346221.43
2022-02-04,309346.0
2022-02-05,292466.43
2022-02-06,284054.57
2022-02-07,244343.71
2022-02-08,230078.0
2022-02-09,214509.71
2022-02-10,188363.0
2022-02-11,172278.14
2022-02-12,167005.86
2022-02-13,160214.71
2022-02-14,143066.57
2022-02-15,130405.14
2022-02-16,117747.71
2022-02-17,108078.29
2022-02-18,100703.71
2022-02-19,96816.57
2022-02-20,94525.0
2022-02-21,76556.71
2022-02-22,77513.29
2022-02-23,72897.29
2022-02-24,69362.71
2022-02-25,65243.14
2022-02-26,63026.14
2022-02-27,61148.29
2022-02-28,64522.71
2022-03-01,54084.29
2022-03-02,51100.43
2022-03-03,47835.57
2022-03-04,43220.14
2022-03-05,41572.14
2022-03-06,40230.71
2022-03-07,37885.29
2022-03-08,36141.57
2022-03-09,35159.86
2022-03-10,33376.43
2022-03-11,32534.29
2022-03-12,32199.57
2022-03-13,32287.71
2022-03-14,29766.14
2022-03-15,28917.14
2022-03-16,27766.0
2022-03-17,26902.29
2022-03-18,25963.71
2022-03-19,25640.57
2022-03-20,25701.0
2022-03-21,25815.86
2022-03-22,25791.57
2022-03-23,25397.86
2022-03-24,25278.71
2022-03-25,24919.0
2022-03-26,24909.86
2022-03-27,24844.43
2022-03-28,23933.71
2022-03-29,23515.71
2022-03-30,23875.0
2022-03-31,24167.14
2022-04-01,24143.43
2022-04-02,24220.71
2022-04-03,24192.57
2022-04-04,23432.29
2022-04-05,24998.71
2022-04-06,25548.86
2022-04-07,25251.71
2022-04-08,27304.71
2022-04-09,27848.43
2022-04-10,28581.29
2022-04-11,29588.29
2022-04-12,28787.14
2022-04-13,29263.0
2022-04-14,33493.0
2022-04-15,33787.29
2022-04-16,34134.86
2022-04-17,34764.57
2022-04-18,34992.0
2022-04-19,38534.86
2022-04-20,40430.14
2022-04-21,38834.29
2022-04-22,42623.29
2022-04-23,44141.57
2022-04-24,44543.57
2022-04-25,46748.0
2022-04-26,48421.43
2022-04-27,51121.57
2022-04-28,52809.14
2022-04-29,55041.71
2022-04-30,55568.86
2022-05-01,56180.29
2022-05-02,57832.86
2022-05-03,59182.0
2022-05-04,62682.71
2022-05-05,65433.0
2022-05-06,67770.86
2022-05-07,68057.86
2022-05-08,67362.57
2022-05-09,73718.0
2022-05-10,77329.71
2022-05-11,81053.29
2022-05-12,83832.71
2022-05-13,86544.86
2022-05-14,86594.86
2022-05-15,90077.0
2022-05-16,91187.71
2022-05-17,95027.29
2022-05-18,97709.14
2022-05-19,99320.0
2022-05-20,104424.86
2022-05-21,105549.0
2022-05-22,104549.0
2022-05-23,103866.71
2022-05-24,104685.43
2022-05-25,106171.29
2022-05-26,106333.71
2022-05-27,105756.43
2022-05-28,105755.86
2022-05-29,104745.71
2022-05-30,96873.71
2022-05-31,100474.86
2022-06-01,98169.71
2022-06-02,97967.29
2022-06-03,97052.14
2022-06-04,98690.14
2022-06-05,99911.14
2022-06-06,106208.14
2022-06-07,105245.71
2022-06-08,106415.57
2022-06-09,105646.43
2022-06-10,106321.14
2022-06-11,104573.43
2022-06-12,104026.86
2022-06-13,102970.71
2022-06-14,101109.86
2022-06-15,100508.57
2022-06-16,99376.71
2022-06-17,96179.57
2022-06-18,95911.71
2022-06-19,95806.29
2022-06-20,90195.57
2022-06-21,97257.57
2022-06-22,95625.57
2022-06-23,96422.57
2022-06-24,101956.43
2022-06-25,103314.86
2022-06-26,103953.71
2022-06-27,110175.71
2022-06-28,105550.14
2022-06-29,107781.29
2022-06-30,109092.57
2022-07-01,109799.0
2022-07-02,109883.43
2022-07-03,109438.57
2022-07-04,102649.43
2022-07-05,104877.29
2022-07-06,103867.14
2022-07-07,104317.0
2022-07-08,104965.29
2022-07-09,105792.0
2022-07-10,107389.0
2022-07-11,117507.43
2022-07-12,119426.14
2022-07-13,121074.86
2022-07-14,124088.43
2022-07-15,125589.0
2022-07-16,125676.0
2022-07-17,125566.71
2022-07-18,123692.86
2022-07-19,122704.14
2022-07-20,123440.43
2022-07-21,124795.43
2022-07-22,124386.57
2022-07-23,124069.43
2022-07-24,123952.29
2022-07-25,124598.57
2022-07-26,123278.14
2022-07-27,123416.29
2022-07-28,122902.71
2022-07-29,120819.29
2022-07-30,118638.86
2022-07-31,116510.29
2022-08-01,118362.29
2022-08-02,117200.86
2022-08-03,115739.14
2022-08-04,114120.43
2022-08-05,111630.57
2022-08-06,111019.57
2022-08-07,110629.14
2022-08-08,107793.71
2022-08-09,104454.14
2022-08-10,102822.86
2022-08-11,101865.71
2022-08-12,99873.0
2022-08-13,99496.43
2022-08-14,98726.43
2022-08-15,97689.86
2022-08-16,96329.0
2022-08-17,93755.57
2022-08-18,92080.71
2022-08-19,90555.14
2022-08-20,90010.29
2022-08-21,90053.71
2022-08-22,88496.86
2022-08-23,86936.57
2022-08-24,88382.71
2022-08-25,87954.43
2022-08-26,85954.14
2022-08-27,86097.14
2022-08-28,85935.43
2022-08-29,85900.43
2022-08-30,85950.14
2022-08-31,84512.71
2022-09-01,83501.71
2022-09-02,82464.0
2022-09-03,81815.86
2022-09-04,81529.43
2022-09-05,72958.57
2022-09-06,73501.29
2022-09-07,69162.29
2022-09-08,66901.14
2022-09-09,63287.71
2022-09-10,62750.86
2022-09-11,62497.43
2022-09-12,67595.57
2022-09-13,58581.14
2022-09-14,57792.57